
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
90:DD:5D:7C:86:E9, 2020-09-23 14:57:35, 2020-09-23 15:03:42, -68,      274, CC:40:D0:15:9B:9B,
44:07:0B:C6:BC:7C, 2020-09-23 14:42:43, 2020-09-23 15:07:59, -42,     1397, CC:40:D0:15:9B:9B,
F2:F8:F6:26:EF:71, 2020-09-23 14:42:54, 2020-09-23 15:07:57, -38,      722, CC:40:D0:15:9B:9B,
B8:7B:C5:0F:C1:8F, 2020-09-23 15:06:07, 2020-09-23 15:07:57, -40,      300, CC:40:D0:15:9B:9B,
B8:27:EB:AB:CD:96, 2020-09-23 14:42:53, 2020-09-23 15:07:59, -40,      321, CC:40:D0:15:9B:9B,
80:91:33:3A:E6:3F, 2020-09-23 14:42:47, 2020-09-23 15:07:58, -38,      886, CC:40:D0:15:9B:9B,
78:80:38:40:66:87, 2020-09-23 14:42:44, 2020-09-23 15:07:53, -30,      283, CC:40:D0:15:9B:9B,
D8:31:34:4E:36:0F, 2020-09-23 14:42:43, 2020-09-23 15:07:59, -36,     2864, CC:40:D0:15:9B:9B,
68:EC:C5:2A:A6:7A, 2020-09-23 14:42:43, 2020-09-23 15:07:59, -14,     9793, CC:40:D0:15:9B:9B,

23 15:07:57, -34,     2861, CC:40:D0:15:9B:9B,
68:EC:C5:2A:A6:7A, 2020-09-23 14:42:43, 2020-09-23 15:07:57, -14,     9785, CC:40:D0:15:9B:9B,

