
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
B8:7B:C5:0F:C1:8F, 2020-09-23 00:14:56, 2020-09-23 00:16:22, -66,      201, CC:40:D0:15:9B:9B,
80:91:33:3A:E6:3F, 2020-09-23 00:12:59, 2020-09-23 03:10:32, -36,     4148, CC:40:D0:15:9B:9B,
78:80:38:40:66:87, 2020-09-23 00:13:01, 2020-09-23 05:34:41, -42,     3187, CC:40:D0:15:9B:9B,
B8:27:EB:7E:3A:D3, 2020-09-23 00:12:58, 2020-09-23 05:46:28, -40,     2480, CC:40:D0:15:9B:9B,
D8:31:34:4E:36:0F, 2020-09-23 00:12:58, 2020-09-23 05:46:28, -38,    50833, CC:40:D0:15:9B:9B,The Grid
9C:32:CE:26:65:CC, 2020-09-23 01:57:22, 2020-09-23 05:46:17, -38,    54271, CC:40:D0:15:9B:9B,
44:07:0B:C6:BC:7C, 2020-09-23 00:13:00, 2020-09-23 05:46:22, -32,    17214, CC:40:D0:15:9B:9B,
B8:27:EB:AB:CD:96, 2020-09-23 02:29:32, 2020-09-23 05:46:28, -16,     2711, CC:40:D0:15:9B:9B,
F2:F8:F6:26:EF:71, 2020-09-23 00:13:26, 2020-09-23 05:46:28, -40,     6916, CC:40:D0:15:9B:9B,

23 05:46:21, -14,     2710, CC:40:D0:15:9B:9B,
F2:F8:F6:26:EF:71, 2020-09-23 00:13:26, 2020-09-23 05:46:27, -14,     6911, CC:40:D0:15:9B:9B,

